Date,Time of crash,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Weather,Pilot Experience,DelayMinutes (in mins),Aircraft Model,Aircraft Age,Investigation Completed,Incident Severity
17-10-1986,6:11:05,Sydney,Cargo Air,F5248,Domestic,Cessna 172,REG80041,CN118,3,50,3,Crash during landing.,Rain,31,15,Antonov An-225,28,No,High
13-05-2002,22:43:44,Sydney,Rescue Ops,F5958,Domestic,Wright Flyer,REG27709,CN114,98,14,0,Engine failure mid-air.,Clear,14,15,Airbus A380,21,Yes,Critical
27-04-2018,6:05:19,Delhi,Military - U.S. Army,F8765,Cargo,F-16 Falcon,REG25264,CN270,79,94,14,Crash during takeoff.,Fog,2,60,Antonov An-225,19,Yes,Medium
14-06-1996,18:53:53,Delhi,Private - AeroClub,F6469,Domestic,F-16 Falcon,REG92629,CN967,222,53,15,Mid-air collision.,Snow,36,10,Boeing 737,16,No,Critical
21-01-2016,18:46:39,Sydney,Rescue Ops,F4799,Domestic,Airbus A320,REG12492,CN532,296,40,17,Crash during landing.,Storm,27,15,Boeing 737,16,No,Critical
19-02-2009,0:10:18,Sydney,Military - U.S. Army,F8688,Training,Cessna 172,REG40422,CN619,113,75,10,Mid-air collision.,Fog,9,10,Antonov An-225,14,No,Critical
15-07-1984,19:13:18,Sydney,Private - AeroClub,F8911,International,Wright Flyer,REG36146,CN260,252,12,13,Crash during takeoff.,Storm,16,5,Boeing 737,1,No,High
12-01-2002,21:10:11,Paris,Private - AeroClub,F2043,Training,Cessna 172,REG24938,CN732,117,15,17,Engine failure mid-air.,Fog,17,10,Cessna 208,25,Yes,High
25-07-1983,22:55:32,Paris,Private - AeroClub,F1826,Cargo,Cessna 172,REG24539,CN208,53,71,1,Mid-air collision.,Clear,11,45,Boeing 737,28,Yes,High
02-02-1984,23:18:45,Delhi,Cargo Air,F9165,Domestic,Wright Flyer,REG94815,CN472,172,17,3,Engine failure mid-air.,Fog,27,60,Boeing 737,8,No,High
23-09-1995,16:10:05,Tokyo,Commercial - AirFly,F7799,Training,Wright Flyer,REG29871,CN871,272,53,7,Engine failure mid-air.,Fog,27,15,Antonov An-225,28,No,Low
15-09-2009,4:49:00,Sydney,Cargo Air,F2140,Domestic,Boeing 747,REG51262,CN511,85,55,1,Crash during takeoff.,Clear,10,30,Boeing 737,21,No,Critical
24-01-2006,21:44:35,Tokyo,Commercial - AirFly,F6638,Domestic,Boeing 747,REG79178,CN725,76,89,12,Crash during takeoff.,Rain,35,30,Antonov An-225,23,No,Critical
13-09-1987,9:05:02,Paris,Commercial - AirFly,F7389,International,Airbus A320,REG80882,CN390,110,11,16,Mid-air collision.,Storm,34,10,Airbus A380,1,Yes,High
27-08-1991,9:46:27,Paris,Private - AeroClub,F1982,Training,Boeing 747,REG92180,CN619,182,15,1,Crash during landing.,Fog,20,30,Boeing 737,15,No,Medium
06-03-2022,18:45:57,Sydney,Cargo Air,F4831,Training,Boeing 747,REG47294,CN782,294,86,4,Crash during takeoff.,Snow,16,,Cessna 208,17,Yes,High
04-10-2010,3:09:45,Delhi,Rescue Ops,F2342,Domestic,F-16 Falcon,REG65690,CN233,244,27,14,Crash during landing.,Storm,34,15,Antonov An-225,28,No,Critical
27-12-2007,14:44:59,Delhi,Rescue Ops,F3668,International,Airbus A320,REG26662,CN596,235,16,16,Mid-air collision.,Clear,14,15,Antonov An-225,2,Yes,High
27-08-1980,19:54:26,New York,Private - AeroClub,F7055,Training,F-16 Falcon,REG78521,CN256,61,47,9,Bird strike reported.,Storm,19,15,Boeing 737,26,Yes,Medium
24-11-2022,13:03:59,Tokyo,Commercial - AirFly,F4532,International,Cessna 172,REG10273,CN225,281,44,2,Crash during landing.,Fog,31,30,Cessna 208,19,No,High
07-11-2003,15:53:46,Paris,Military - U.S. Army,F3269,Cargo,Cessna 172,REG97453,CN559,77,93,10,Crash during landing.,Snow,40,15,Antonov An-225,8,No,High
15-07-2018,1:42:56,Delhi,Commercial - AirFly,F2450,International,F-16 Falcon,REG84972,CN745,159,71,20,Crash during landing.,Snow,6,5,Boeing 737,19,Yes,Critical
04-02-2015,0:07:42,Paris,Military - U.S. Army,F1310,Training,Wright Flyer,REG42150,CN949,297,56,2,Mid-air collision.,Snow,21,15,Boeing 737,16,Yes,High
17-03-2009,5:26:01,Paris,Commercial - AirFly,F7258,Training,F-16 Falcon,REG25026,CN201,278,21,9,Engine failure mid-air.,Rain,17,60,Boeing 737,5,No,Critical
07-03-1985,1:39:20,London,Private - AeroClub,F1958,Training,Cessna 172,REG22942,CN427,73,52,10,Bird strike reported.,Fog,8,,Airbus A380,8,Yes,Critical
19-08-2015,16:24:07,Tokyo,Private - AeroClub,F6215,Cargo,Airbus A320,REG63356,CN167,248,3,13,Engine failure mid-air.,Clear,18,30,Boeing 737,8,Yes,High
24-12-2020,13:28:05,Sydney,Cargo Air,F4333,International,Boeing 747,REG80836,CN272,126,68,13,Mid-air collision.,Fog,3,0,Antonov An-225,27,No,Medium
18-01-1970,1:59:58,Delhi,Commercial - AirFly,F5110,Cargo,Boeing 747,REG92864,CN317,300,65,9,Crash during landing.,Rain,35,30,Boeing 737,10,Yes,Critical
12-01-1981,4:46:35,Tokyo,Rescue Ops,F4454,Training,Boeing 747,REG93252,CN367,232,34,7,Bird strike reported.,Storm,14,15,Cessna 208,1,Yes,Low
01-10-2012,0:57:00,Sydney,Military - U.S. Army,F7769,Cargo,Cessna 172,REG80533,CN183,40,68,0,Crash during takeoff.,Clear,23,60,Antonov An-225,27,No,Critical
24-11-1985,22:00:07,Delhi,Commercial - AirFly,F4161,Cargo,F-16 Falcon,REG39035,CN860,11,97,8,Bird strike reported.,Rain,6,60,Cessna 208,26,Yes,Medium
21-04-2014,11:02:17,Delhi,Cargo Air,F4425,Domestic,Wright Flyer,REG93681,CN505,57,35,18,Mid-air collision.,Fog,11,30,Airbus A380,22,Yes,Low
07-10-2022,4:47:04,London,Commercial - AirFly,F4734,Training,Wright Flyer,REG98864,CN123,273,78,8,Mid-air collision.,Fog,1,15,Boeing 737,28,No,Critical
03-07-2006,8:07:43,Paris,Rescue Ops,F9119,Training,Airbus A320,REG15697,CN838,115,6,8,Crash during takeoff.,Snow,29,10,Boeing 737,13,Yes,High
04-05-1977,18:51:01,Sydney,Military - U.S. Army,F7943,Domestic,Wright Flyer,REG35805,CN268,169,39,2,Crash during landing.,Clear,31,,Boeing 737,19,No,High
04-03-1992,3:30:15,Tokyo,Private - AeroClub,F6465,International,F-16 Falcon,REG88638,CN734,225,97,3,Crash during takeoff.,Snow,8,,Boeing 737,30,Yes,Critical
08-02-1998,22:04:50,London,Private - AeroClub,F8240,Domestic,Boeing 747,REG90050,CN741,222,8,3,Crash during landing.,Snow,4,10,Antonov An-225,13,Yes,Critical
30-11-1990,19:50:42,Paris,Private - AeroClub,F8428,Cargo,Cessna 172,REG66112,CN735,52,43,20,Crash during landing.,Fog,34,10,Airbus A380,4,Yes,Low
25-05-2023,22:04:37,London,Cargo Air,F3064,Training,Boeing 747,REG65182,CN592,228,23,7,Engine failure mid-air.,Clear,4,5,Cessna 208,19,No,High
02-12-1997,18:56:34,London,Military - U.S. Army,F8692,Training,Airbus A320,REG54944,CN398,189,1,16,Mid-air collision.,Rain,4,5,Boeing 737,14,No,Medium
23-12-1987,20:58:12,New York,Commercial - AirFly,F4102,Cargo,Cessna 172,REG88612,CN809,170,74,18,Bird strike reported.,Snow,20,15,Cessna 208,6,Yes,Critical
14-10-1973,15:14:58,New York,Military - U.S. Army,F4772,Cargo,Airbus A320,REG37936,CN344,247,94,10,Crash during takeoff.,Rain,26,5,Boeing 737,12,Yes,Low
09-02-2002,0:35:07,London,Commercial - AirFly,F8215,International,Airbus A320,REG57174,CN144,16,25,6,Bird strike reported.,Rain,15,10,Airbus A380,11,Yes,Medium
02-08-1987,0:11:53,Tokyo,Private - AeroClub,F1343,International,Cessna 172,REG95835,CN906,57,43,6,Bird strike reported.,Fog,16,10,Cessna 208,22,Yes,Critical
13-11-1975,3:09:56,London,Military - U.S. Army,F4140,Cargo,Boeing 747,REG51674,CN713,220,81,7,Crash during landing.,Snow,38,5,Cessna 208,26,Yes,High
05-03-1992,1:40:50,Tokyo,Military - U.S. Army,F9327,Cargo,Wright Flyer,REG20670,CN903,241,84,19,Crash during landing.,Rain,33,15,Cessna 208,16,No,Medium
15-11-1998,22:23:33,Sydney,Rescue Ops,F9106,Cargo,Boeing 747,REG86177,CN510,299,83,1,Engine failure mid-air.,Rain,13,15,Airbus A380,13,Yes,High
18-02-2008,12:36:10,Tokyo,Commercial - AirFly,F2388,International,F-16 Falcon,REG48672,CN555,266,45,7,Mid-air collision.,Clear,30,30,Cessna 208,14,No,Critical
20-10-2008,13:23:51,Delhi,Commercial - AirFly,F5473,Cargo,F-16 Falcon,REG33536,CN552,120,33,20,Crash during landing.,Storm,6,10,Boeing 737,26,No,Medium
30-10-1978,3:04:23,New York,Cargo Air,F4281,Training,Wright Flyer,REG98487,CN437,129,38,8,Engine failure mid-air.,Snow,9,60,Cessna 208,1,No,High
05-02-2001,12:25:52,Paris,Private - AeroClub,F8733,International,Cessna 172,REG39829,CN332,108,60,7,Mid-air collision.,Snow,36,60,Antonov An-225,24,No,High
14-09-1977,10:54:12,Delhi,Rescue Ops,F4433,Cargo,Cessna 172,REG83196,CN130,192,17,18,Engine failure mid-air.,Storm,1,15,Cessna 208,11,Yes,Critical
11-03-2008,21:48:25,Sydney,Cargo Air,F5909,Training,Airbus A320,REG13046,CN681,17,17,4,Bird strike reported.,Snow,39,30,Antonov An-225,13,Yes,Critical
19-09-1975,17:24:12,Delhi,Private - AeroClub,F6387,Cargo,Boeing 747,REG22221,CN275,54,86,17,Engine failure mid-air.,Clear,39,,Boeing 737,6,Yes,Low
14-08-2004,9:13:14,Tokyo,Cargo Air,F2146,Cargo,F-16 Falcon,REG58319,CN630,6,21,10,Crash during takeoff.,Fog,11,0,Airbus A380,18,No,Critical
03-03-1976,12:57:55,London,Military - U.S. Army,F4369,Training,Cessna 172,REG97135,CN586,82,77,18,Bird strike reported.,Snow,13,30,Antonov An-225,9,Yes,Low
20-10-1982,14:04:52,Delhi,Cargo Air,F5044,Training,Airbus A320,REG74350,CN571,237,73,1,Crash during landing.,Storm,30,10,Cessna 208,13,Yes,Critical
08-05-1992,5:57:39,Sydney,Rescue Ops,F8501,Cargo,Wright Flyer,REG84529,CN197,202,89,1,Engine failure mid-air.,Rain,18,45,Cessna 208,22,Yes,Medium
10-04-2014,13:48:35,New York,Commercial - AirFly,F2253,Domestic,Airbus A320,REG52731,CN519,231,21,8,Engine failure mid-air.,Snow,3,15,Boeing 737,3,No,Critical
30-10-2000,23:25:54,London,Rescue Ops,F1618,Domestic,Boeing 747,REG25031,CN826,70,41,14,Crash during takeoff.,Fog,5,0,Airbus A380,23,No,Medium
27-03-2012,8:53:10,London,Private - AeroClub,F2646,International,Boeing 747,REG26272,CN647,201,21,2,Crash during landing.,Storm,10,15,Cessna 208,6,Yes,Low
03-10-2017,6:28:44,New York,Cargo Air,F2684,Cargo,Boeing 747,REG68194,CN153,3,6,12,Engine failure mid-air.,Rain,24,5,Airbus A380,3,Yes,Critical
04-07-1972,0:21:52,London,Private - AeroClub,F4613,Domestic,Wright Flyer,REG31895,CN145,213,65,3,Bird strike reported.,Storm,36,45,Airbus A380,20,Yes,Critical
21-05-2008,3:14:13,New York,Commercial - AirFly,F6298,International,F-16 Falcon,REG62709,CN769,162,1,12,Engine failure mid-air.,Fog,15,0,Cessna 208,21,No,Low
16-01-1976,6:26:19,Paris,Rescue Ops,F2668,International,Boeing 747,REG22418,CN714,167,80,12,Engine failure mid-air.,Storm,12,45,Cessna 208,28,No,Low
24-01-2000,0:38:58,Paris,Rescue Ops,F7264,International,Airbus A320,REG87000,CN821,7,29,0,Mid-air collision.,Clear,20,5,Antonov An-225,25,Yes,Low
18-05-1975,4:23:31,Tokyo,Military - U.S. Army,F3484,Cargo,Wright Flyer,REG94153,CN138,122,92,19,Crash during takeoff.,Storm,9,10,Cessna 208,21,Yes,Critical
18-11-1995,0:14:54,Sydney,Commercial - AirFly,F6615,International,Wright Flyer,REG80688,CN155,128,87,7,Mid-air collision.,Fog,34,10,Airbus A380,15,Yes,Low
09-02-2014,2:12:03,Sydney,Military - U.S. Army,F4345,International,F-16 Falcon,REG32764,CN706,282,26,7,Mid-air collision.,Clear,28,45,Antonov An-225,10,Yes,Medium
22-12-1991,13:11:38,London,Commercial - AirFly,F5675,Cargo,Wright Flyer,REG45633,CN983,247,10,11,Crash during takeoff.,Fog,11,15,Antonov An-225,14,No,Medium
30-03-2013,0:48:24,Delhi,Private - AeroClub,F5918,International,Airbus A320,REG33029,CN363,195,59,9,Crash during takeoff.,Storm,25,30,Antonov An-225,3,No,Medium
06-02-2012,6:09:58,London,Private - AeroClub,F1210,Training,Cessna 172,REG63025,CN525,203,95,11,Crash during takeoff.,Fog,20,45,Boeing 737,14,Yes,Low
10-07-2004,18:10:12,Delhi,Commercial - AirFly,F6711,Cargo,Boeing 747,REG17563,CN766,198,54,7,Engine failure mid-air.,Fog,3,60,Cessna 208,21,Yes,Medium
12-06-1993,19:29:43,London,Commercial - AirFly,F5053,International,F-16 Falcon,REG25300,CN889,48,82,12,Crash during takeoff.,Snow,6,30,Airbus A380,29,No,Medium
18-04-2008,8:44:19,Paris,Cargo Air,F7271,Training,Cessna 172,REG21648,CN211,294,99,11,Engine failure mid-air.,Storm,14,45,Antonov An-225,23,No,Low
09-02-1985,15:00:06,New York,Rescue Ops,F9600,Cargo,Boeing 747,REG66485,CN274,91,47,5,Engine failure mid-air.,Rain,32,5,Boeing 737,15,Yes,Medium
11-01-1988,1:47:11,London,Commercial - AirFly,F7697,Cargo,Airbus A320,REG24312,CN989,86,10,9,Crash during landing.,Fog,8,10,Boeing 737,11,Yes,Medium
15-11-2012,15:43:48,New York,Private - AeroClub,F2000,Training,F-16 Falcon,REG97205,CN696,22,12,6,Mid-air collision.,Clear,25,30,Cessna 208,30,No,Critical
27-03-2000,19:27:21,Tokyo,Commercial - AirFly,F6164,International,Boeing 747,REG97173,CN508,194,78,1,Bird strike reported.,Storm,7,0,Antonov An-225,28,No,Medium
21-04-1972,19:07:55,Paris,Commercial - AirFly,F5072,Training,Cessna 172,REG91048,CN802,244,65,13,Engine failure mid-air.,Clear,21,0,Cessna 208,28,Yes,High
11-11-2009,7:38:31,Delhi,Cargo Air,F2333,Training,Cessna 172,REG72406,CN774,52,93,12,Bird strike reported.,Snow,13,45,Airbus A380,28,Yes,Medium
03-09-2014,2:19:53,Sydney,Cargo Air,F8648,International,Cessna 172,REG25162,CN593,277,30,7,Engine failure mid-air.,Rain,6,0,Antonov An-225,23,Yes,Medium
17-04-1999,12:49:17,London,Commercial - AirFly,F8803,Domestic,Wright Flyer,REG80063,CN748,252,11,10,Engine failure mid-air.,Snow,39,0,Cessna 208,13,No,Critical
08-12-1990,7:16:07,Tokyo,Private - AeroClub,F2824,Domestic,Boeing 747,REG87620,CN292,60,73,11,Engine failure mid-air.,Storm,25,30,Boeing 737,10,Yes,Medium
27-10-2004,13:20:49,Tokyo,Military - U.S. Army,F9515,International,F-16 Falcon,REG61814,CN109,276,58,10,Engine failure mid-air.,Storm,15,15,Antonov An-225,5,No,Medium
30-01-1973,19:20:19,Paris,Private - AeroClub,F5480,Cargo,Wright Flyer,REG74883,CN398,193,7,10,Engine failure mid-air.,,15,45,Boeing 737,30,Yes,Critical
24-02-2005,9:52:42,London,Private - AeroClub,F9977,Cargo,Boeing 747,REG65369,CN794,243,44,12,Crash during takeoff.,Clear,34,45,Cessna 208,10,Yes,Critical
24-09-1978,4:20:48,Paris,Private - AeroClub,F5981,Cargo,Wright Flyer,REG85649,CN240,227,89,15,Bird strike reported.,Rain,14,5,Airbus A380,24,Yes,High
24-08-2021,3:43:50,London,Rescue Ops,F7997,International,F-16 Falcon,REG22589,CN464,243,22,1,Crash during landing.,Snow,22,30,Antonov An-225,5,No,Medium
18-01-1973,3:15:25,Delhi,Commercial - AirFly,F3826,Cargo,F-16 Falcon,REG70774,CN985,196,35,20,Crash during takeoff.,Storm,1,0,Boeing 737,3,Yes,Critical
25-09-2015,7:01:37,Paris,Cargo Air,F8856,Training,F-16 Falcon,REG87709,CN285,197,61,20,Crash during takeoff.,Storm,37,5,Boeing 737,11,Yes,Medium
13-05-2006,22:01:25,Paris,Cargo Air,F9684,Cargo,F-16 Falcon,REG78013,CN957,300,68,20,Crash during landing.,Rain,8,5,Airbus A380,1,No,High
14-01-1981,1:08:36,London,Military - U.S. Army,F2438,Training,F-16 Falcon,REG21090,CN227,260,38,11,Mid-air collision.,Rain,28,45,Boeing 737,8,No,Low
08-08-2016,9:42:34,Delhi,Military - U.S. Army,F9035,Training,Airbus A320,REG56152,CN720,276,65,6,Crash during landing.,Clear,16,0,Airbus A380,5,No,Medium
15-01-1982,19:35:13,Paris,Commercial - AirFly,F5544,International,Airbus A320,REG65314,CN176,282,32,8,Crash during takeoff.,Rain,26,15,Boeing 737,9,No,Medium
29-01-2018,6:04:40,Sydney,Commercial - AirFly,F4156,Training,Airbus A320,REG96155,CN763,262,77,5,Crash during takeoff.,Rain,21,60,Antonov An-225,13,Yes,Medium
15-12-1976,8:07:34,New York,Cargo Air,F7664,Domestic,Boeing 747,REG93909,CN191,186,42,8,Engine failure mid-air.,Rain,18,0,Boeing 737,13,Yes,Critical
03-06-1979,3:11:33,Sydney,Commercial - AirFly,F9021,Domestic,Airbus A320,REG55731,CN817,293,36,17,Bird strike reported.,Snow,7,0,Airbus A380,11,No,Medium
19-12-2000,23:43:50,Paris,Cargo Air,F7597,Cargo,Airbus A320,REG26721,CN365,5,87,16,Engine failure mid-air.,Rain,10,15,Cessna 208,2,No,Medium
11-07-2007,22:29:11,Delhi,Commercial - AirFly,F8678,Training,Boeing 747,REG66068,CN633,118,39,20,Crash during landing.,Storm,27,60,Cessna 208,28,Yes,Low
18-11-1976,23:15:05,London,Cargo Air,F1940,Domestic,Boeing 747,REG82634,CN604,6,54,16,Engine failure mid-air.,Fog,32,30,Boeing 737,13,Yes,Medium
27-08-1970,22:27:44,Paris,Commercial - AirFly,F5001,Domestic,Airbus A320,REG68805,CN272,269,28,5,Crash during landing.,Storm,9,30,Cessna 208,2,No,Critical
05-01-2004,5:23:07,Tokyo,Military - U.S. Army,F9832,Domestic,Boeing 747,REG49213,CN594,151,33,6,Crash during landing.,Snow,26,5,Cessna 208,30,Yes,Critical
21-10-2013,1:22:00,Paris,Rescue Ops,F6382,Training,Boeing 747,REG24046,CN105,180,92,5,Crash during takeoff.,Storm,1,0,Antonov An-225,16,Yes,Low
20-06-2017,16:57:09,Delhi,Private - AeroClub,F8985,Domestic,Wright Flyer,REG96066,CN356,116,60,12,Bird strike reported.,Storm,24,15,Airbus A380,18,No,Low
07-05-2009,21:53:28,London,Military - U.S. Army,F6795,Cargo,F-16 Falcon,REG57085,CN991,102,14,6,Bird strike reported.,Clear,9,15,Antonov An-225,24,No,Low
20-05-1984,21:12:30,Sydney,Commercial - AirFly,F2946,Cargo,Cessna 172,REG82105,CN607,66,41,12,Mid-air collision.,Fog,9,0,Boeing 737,26,Yes,Medium
15-12-1983,11:32:00,Sydney,Military - U.S. Army,F1852,Training,Cessna 172,REG88261,CN855,5,55,15,Bird strike reported.,Storm,32,0,Antonov An-225,8,Yes,Medium
19-05-1992,8:49:07,Tokyo,Military - U.S. Army,F8031,International,Cessna 172,REG23508,CN817,258,78,5,Engine failure mid-air.,Snow,10,5,Boeing 737,5,No,Low
27-07-1994,6:59:09,Delhi,Private - AeroClub,F4270,Domestic,F-16 Falcon,REG59853,CN517,269,39,20,Engine failure mid-air.,Rain,22,15,Antonov An-225,2,No,Low
19-04-1997,3:17:23,Tokyo,Commercial - AirFly,F7849,International,Boeing 747,REG16233,CN286,21,0,1,Bird strike reported.,Rain,19,15,Cessna 208,30,Yes,Critical
01-08-1986,8:31:23,Tokyo,Commercial - AirFly,F2827,Domestic,F-16 Falcon,REG99517,CN665,67,42,11,Bird strike reported.,Snow,34,30,Cessna 208,8,No,Medium
04-06-2022,12:05:56,New York,Military - U.S. Army,F2971,Domestic,Airbus A320,REG95767,CN937,98,24,14,Crash during landing.,Clear,35,30,Cessna 208,10,No,Medium
13-11-2017,23:09:02,London,Military - U.S. Army,F7851,Training,Airbus A320,REG55526,CN474,230,80,3,Crash during takeoff.,Clear,31,15,Boeing 737,6,No,Medium
27-12-1995,1:36:03,Sydney,Military - U.S. Army,F7512,Cargo,Airbus A320,REG77303,CN176,85,56,16,Crash during takeoff.,Snow,25,15,Cessna 208,7,Yes,Low
09-05-1984,18:13:37,Sydney,Private - AeroClub,F9401,Cargo,Airbus A320,REG78822,CN365,156,28,9,Bird strike reported.,Snow,8,5,Airbus A380,2,Yes,High
04-07-1973,20:09:56,Tokyo,Military - U.S. Army,F5430,Domestic,Wright Flyer,REG37521,CN647,60,0,20,Bird strike reported.,Snow,24,10,Boeing 737,23,No,Medium
20-08-2006,19:18:20,New York,Private - AeroClub,F6824,International,Boeing 747,REG33165,CN362,9,68,18,Crash during landing.,Fog,17,60,Airbus A380,27,No,Medium
03-02-1999,8:13:37,Sydney,Rescue Ops,F3550,Cargo,Wright Flyer,REG66872,CN477,76,61,2,Crash during takeoff.,Rain,30,5,Airbus A380,7,No,Medium
22-04-1995,0:19:10,London,Rescue Ops,F4077,Domestic,Wright Flyer,REG19443,CN536,126,58,20,Crash during takeoff.,Clear,34,5,Boeing 737,20,Yes,Critical
13-06-2004,0:07:52,New York,Private - AeroClub,F3165,International,F-16 Falcon,REG45082,CN246,7,1,3,Mid-air collision.,Storm,6,5,Airbus A380,16,No,Medium
30-07-1997,10:30:09,London,Private - AeroClub,F9905,Training,Airbus A320,REG26131,CN121,23,13,17,Bird strike reported.,Clear,33,60,Antonov An-225,5,Yes,Medium
26-02-1972,7:27:24,London,Commercial - AirFly,F5699,International,Cessna 172,REG24733,CN603,87,14,7,Crash during landing.,Storm,23,0,Cessna 208,4,No,Low
21-11-1973,19:09:11,Delhi,Cargo Air,F6486,International,Cessna 172,REG29689,CN783,155,79,9,Bird strike reported.,Clear,18,15,Cessna 208,30,No,Low
13-03-1970,4:49:41,London,Commercial - AirFly,F3421,Cargo,Cessna 172,REG72709,CN934,35,14,18,Crash during takeoff.,Storm,10,0,Cessna 208,5,Yes,Critical
20-08-2001,10:31:27,Delhi,Rescue Ops,F6463,International,Wright Flyer,REG60224,CN528,282,63,17,Mid-air collision.,Fog,35,30,Airbus A380,13,Yes,Critical
10-04-2017,18:49:44,Sydney,Military - U.S. Army,F2429,International,Boeing 747,REG10375,CN308,9,46,17,Crash during takeoff.,Rain,8,0,Cessna 208,12,Yes,High
22-04-2011,4:53:54,Paris,Rescue Ops,F4973,International,Wright Flyer,REG17322,CN864,71,15,4,Crash during takeoff.,Clear,28,10,Boeing 737,23,Yes,Low
11-10-2012,19:55:10,New York,Military - U.S. Army,F6984,International,F-16 Falcon,REG42118,CN178,7,72,13,Engine failure mid-air.,Rain,31,45,Airbus A380,24,No,Critical
02-12-2006,23:21:28,Sydney,Private - AeroClub,F5698,Domestic,Wright Flyer,REG17864,CN757,17,77,5,Mid-air collision.,Rain,1,15,Antonov An-225,22,No,High
28-04-2021,16:19:45,London,Rescue Ops,F3569,Training,F-16 Falcon,REG78354,CN486,65,95,6,Crash during takeoff.,Snow,4,5,Antonov An-225,6,Yes,Critical
30-10-2012,10:41:41,Delhi,Rescue Ops,F3700,Domestic,Boeing 747,REG94757,CN534,100,34,3,Crash during landing.,Clear,24,30,Cessna 208,1,Yes,High
08-08-1984,17:06:04,London,Cargo Air,F1179,Training,Wright Flyer,REG82311,CN306,17,30,8,Crash during landing.,Snow,37,0,Antonov An-225,2,Yes,High
13-05-1978,9:00:22,Tokyo,Rescue Ops,F9195,International,Boeing 747,REG61202,CN843,183,16,3,Bird strike reported.,Fog,33,0,Airbus A380,1,No,Critical
09-08-2022,1:18:10,London,Rescue Ops,F2290,Domestic,Wright Flyer,REG38265,CN926,73,98,5,Mid-air collision.,Snow,39,45,Cessna 208,15,Yes,High
04-02-1996,11:39:54,Delhi,Private - AeroClub,F7350,International,Wright Flyer,REG90004,CN721,39,19,18,Crash during takeoff.,Clear,1,5,Cessna 208,18,Yes,Critical
11-06-1978,14:20:10,Tokyo,Military - U.S. Army,F2116,Training,Airbus A320,REG57622,CN461,46,9,5,Crash during takeoff.,Storm,31,10,Antonov An-225,21,Yes,Low
09-01-2021,15:02:23,Tokyo,Rescue Ops,F7701,International,Cessna 172,REG58068,CN624,161,47,2,Crash during takeoff.,Snow,29,10,Boeing 737,20,Yes,Medium
24-04-2020,0:09:54,New York,Commercial - AirFly,F7157,International,Airbus A320,REG62334,CN974,38,28,12,Crash during takeoff.,Clear,23,15,Antonov An-225,21,No,Low
13-09-1977,5:46:06,Delhi,Rescue Ops,F4268,Cargo,Boeing 747,REG18450,CN424,176,77,15,Engine failure mid-air.,Fog,8,10,Antonov An-225,2,Yes,Critical
21-01-1983,20:13:20,Paris,Private - AeroClub,F7230,Domestic,Boeing 747,REG66375,CN584,110,6,6,Crash during landing.,Fog,18,10,Airbus A380,3,Yes,Low
29-07-1994,12:05:19,Sydney,Rescue Ops,F7876,International,Boeing 747,REG34127,CN950,28,11,13,Bird strike reported.,Storm,11,5,Cessna 208,14,No,Critical
16-01-2018,22:50:10,Sydney,Rescue Ops,F6811,Cargo,F-16 Falcon,REG83519,CN901,102,9,18,Mid-air collision.,Rain,21,45,Cessna 208,1,Yes,Critical
26-03-1983,15:55:20,New York,Rescue Ops,F5305,Domestic,Cessna 172,REG26478,CN749,231,81,18,Crash during landing.,Clear,14,45,Airbus A380,14,Yes,Critical
23-05-1989,11:13:12,Sydney,Cargo Air,F1235,Training,Boeing 747,REG12122,CN409,158,64,3,Crash during takeoff.,Fog,27,15,Cessna 208,12,No,High
04-03-1980,5:29:27,Tokyo,Military - U.S. Army,F3664,Cargo,Cessna 172,REG47359,CN965,224,81,9,Mid-air collision.,Clear,6,60,Boeing 737,3,Yes,Critical
21-04-1979,15:47:48,Paris,Cargo Air,F2633,Cargo,Airbus A320,REG86183,CN925,17,85,9,Crash during takeoff.,Rain,15,60,Antonov An-225,18,No,Low
19-07-1987,15:07:22,Delhi,Rescue Ops,F7484,Domestic,Boeing 747,REG39351,CN619,146,34,8,Bird strike reported.,Fog,16,0,Antonov An-225,2,Yes,Low
05-10-1983,11:53:52,Paris,Cargo Air,F6201,Training,Wright Flyer,REG84997,CN540,124,71,12,Engine failure mid-air.,Snow,26,60,Boeing 737,26,No,Medium
10-01-2005,23:11:25,Tokyo,Cargo Air,F3595,Cargo,Wright Flyer,REG23051,CN827,65,64,3,Mid-air collision.,Fog,17,60,Airbus A380,11,Yes,Low
15-05-1978,0:27:00,Sydney,Cargo Air,F3507,Domestic,Airbus A320,REG81260,CN180,293,48,0,Engine failure mid-air.,Fog,23,5,Airbus A380,21,Yes,High
23-05-1987,17:53:15,Sydney,Rescue Ops,F5267,Domestic,Boeing 747,REG20874,CN247,12,81,18,Crash during landing.,Clear,30,30,Boeing 737,4,Yes,High
04-07-1993,5:05:04,Delhi,Commercial - AirFly,F4407,Cargo,F-16 Falcon,REG74361,CN914,12,52,2,Crash during takeoff.,Clear,14,45,Antonov An-225,13,No,Critical
15-06-1984,5:19:00,London,Cargo Air,F1515,Domestic,Boeing 747,REG55453,CN595,280,0,5,Mid-air collision.,Storm,8,5,Boeing 737,18,Yes,Medium
28-05-1989,11:07:57,London,Private - AeroClub,F6366,International,Wright Flyer,REG20937,CN845,65,34,8,Crash during takeoff.,Rain,6,10,Cessna 208,15,No,Critical
